pulseheight,counts_ch_A,counts_ch_B
48.24046920821114,28,0
48.33822091886608,51,0
48.43597262952102,85,0
48.53372434017595,136,0
48.631476050830884,179,0
48.729227761485824,150,0
48.82697947214076,152,0
48.924731182795696,122,0
49.02248289345063,80,0
49.12023460410557,81,0
49.21798631476051,48,0
49.31573802541544,38,0
49.413489736070375,19,0
49.511241446725315,21,0
49.608993157380255,10,0
49.70674486803519,14,0
49.80449657869012,14,0
49.90224828934506,13,0
50.0,8,0
50.09775171065493,6,0
50.19550342130987,5,0
50.29325513196481,10,0
50.391006842619745,13,0
50.48875855327468,4,0
50.58651026392962,4,0
50.68426197458456,10,0
50.78201368523949,8,0
50.879765395894424,4,0
50.977517106549364,5,0
51.075268817204304,2,0
51.17302052785924,4,0
51.27077223851417,6,0
51.36852394916911,11,0
51.46627565982405,7,0
51.56402737047898,6,0
51.661779081133915,4,0
51.759530791788855,7,0
51.857282502443795,2,0
51.95503421309873,4,0
52.05278592375366,5,0
52.1505376344086,3,0
52.24828934506354,3,0
52.34604105571847,4,0
52.443792766373406,1,0
52.541544477028346,1,0
52.639296187683286,9,0
52.73704789833822,2,0
52.83479960899315,0,0
52.93255131964809,4,0
53.03030303030303,6,0
53.128054740957964,1,0
53.2258064516129,4,0
53.32355816226784,2,0
53.42130987292278,2,0
53.51906158357771,8,0
53.61681329423264,5,0
53.71456500488758,3,0
53.81231671554252,3,0
53.910068426197455,2,0
54.00782013685239,4,0
54.10557184750733,1,0
54.20332355816227,2,0
54.3010752688172,4,0
54.39882697947214,3,0
54.49657869012708,2,0
54.59433040078201,3,0
54.692082111436946,2,0
54.789833822091886,1,0
54.887585532746826,2,0
54.98533724340176,3,0
55.08308895405669,1,0
55.18084066471163,4,0
55.27859237536657,3,0
55.376344086021504,2,0
55.47409579667644,4,0
55.57184750733138,8,0
55.66959921798632,5,0
55.76735092864125,7,0
55.86510263929618,6,0
55.96285434995112,2,0
56.06060606060606,3,0
56.158357771260995,5,0
56.25610948191593,6,0
56.35386119257087,2,0
56.45161290322581,3,0
56.54936461388074,0,0
56.64711632453567,2,0
56.74486803519061,2,0
56.84261974584555,1,0
56.940371456500486,0,0
57.03812316715542,1,0
57.13587487781036,3,0
57.2336265884653,1,0
57.33137829912023,1,0
57.429130009775164,1,0
57.526881720430104,4,0
57.624633431085044,0,0
57.72238514173998,1,0
57.82013685239491,2,0
57.91788856304985,2,0
58.01564027370479,4,0
58.11339198435972,2,0
58.211143695014655,3,0
58.308895405669595,0,0
58.406647116324535,3,0
58.50439882697947,2,0
58.60215053763441,1,0
58.69990224828935,3,0
58.79765395894428,2,0
58.895405669599214,1,0
58.993157380254154,2,0
59.09090909090909,1,0
59.188660801564026,3,0
59.28641251221896,4,0
59.3841642228739,1,0
59.48191593352884,3,0
59.57966764418377,2,0
59.677419354838705,1,0
59.775171065493645,1,0
59.872922776148584,3,0
59.97067448680352,2,0
60.06842619745845,0,0
60.16617790811339,2,0
60.26392961876833,3,0
60.36168132942326,1,0
60.459433040078196,3,0
60.557184750733136,2,0
60.654936461388075,2,0
60.75268817204301,2,0
60.85043988269794,2,0
60.94819159335288,2,0
61.04594330400782,0,0
61.143695014662754,0,0
61.24144672531769,2,0
61.33919843597263,2,0
61.43695014662757,0,0
61.5347018572825,0,0
61.63245356793743,1,0
61.73020527859237,0,0
61.82795698924731,2,0
61.925708699902245,0,0
62.02346041055718,3,0
62.12121212121212,4,0
62.21896383186706,0,0
62.31671554252199,4,0
62.41446725317692,0,0
62.51221896383187,0,0
62.6099706744868,0,0
62.707722385141736,1,0
62.805474095796676,1,0
62.903225806451616,2,0
63.00097751710655,0,0
63.09872922776148,0,0
63.19648093841642,0,0
63.29423264907136,0,0
63.391984359726294,1,0
63.48973607038123,0,0
63.58748778103617,3,0
63.68523949169111,1,0
63.78299120234604,1,0
63.88074291300097,3,0
63.97849462365592,1,0
64.07624633431085,1,0
64.17399804496578,1,0
64.27174975562072,2,0
64.36950146627566,1,0
64.4672531769306,0,0
64.56500488758553,1,0
64.66275659824046,4,0
64.7605083088954,0,0
64.85826001955034,1,0
64.95601173020528,0,0
65.05376344086021,0,0
65.15151515151516,0,0
